Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,alpha,degree,gamma,kernel,,std_test_score,std_train_score
1,93,0.570424798,0.580804268,0.07,2,0.3,polynomial,,0.01000134,0.002046146
1,94,0.570418613,0.580479551,0.01,2,0.1,polynomial,,0.01023076,0.002181854
1,95,0.570270085,0.587360243,0.03,4,0.1,polynomial,,0.007889357,0.001911577
1,96,0.570159546,0.609171309,0.03,3,0.9,polynomial,,0.019780498,0.00208908
1,97,0.569814133,0.607583633,0.1,4,0.5,polynomial,,0.014852917,0.001786866
1,98,0.569690831,0.580137234,0.03,,0.1,rbf,,0.010983621,0.002234658
1,99,0.569567998,0.589426774,0.05,5,0.1,polynomial,,0.007504307,0.001828916
1,100,0.569487379,0.608101236,0.09,4,0.5,polynomial,,0.014859609,0.001773097
1,101,0.569354,0.579203392,0.09,2,0.3,polynomial,,0.010466423,0.002145432
1,102,0.569248226,0.5815935,0.03,3,0.1,polynomial,,0.009749358,0.002190153
1,103,0.569185199,0.610309068,0.03,3,1,polynomial,,0.020339877,0.002049271
1,104,0.569047123,0.610782017,0.01,3,0.7,polynomial,,0.020016047,0.002005831
1,105,0.568863857,0.578488613,0.1,2,0.3,polynomial,,0.010654703,0.002183499
1,106,0.568791014,0.58379925,0.05,4,0.1,polynomial,,0.00875301,0.002029097
1,107,0.568557363,0.609317122,0.07,4,0.5,polynomial,,0.014781075,0.001739487
1,108,0.568438434,0.58673135,0.07,5,0.1,polynomial,,0.00792429,0.001877493
1,109,0.568419997,0.610843012,0.01,4,0.3,polynomial,,0.014157759,0.001661983
1,110,0.56811769,0.576813137,0.05,,0.1,rbf,,0.012251159,0.002369197
1,111,0.567731855,0.581423132,0.07,4,0.1,polynomial,,0.009415978,0.002125085
1,112,0.567620107,0.578381347,0.05,3,0.1,polynomial,,0.010625383,0.002320629
1,113,0.567556532,0.584681731,0.09,5,0.1,polynomial,,0.008358783,0.001937608
