Outer-Loop Fold #,rank_test_score,mean_test_score,mean_train_score,activation,alpha,hidden_layer_sizes,learning_rate_init,solver,,std_test_score,std_train_score
4,101,0.5081873,0.503659662,logistic,0.1,"(2,)",0.1,sgd,,0.057017074,0.044715825
4,102,0.500631201,0.499227581,tanh,1.00E-05,"(2,)",0.01,sgd,,0.036104931,0.03482053
4,103,0.49457639,0.493464657,logistic,0.0001,"(2,)",0.1,sgd,,0.074055315,0.078183165
4,104,0.440828461,0.436610324,tanh,0.0001,"(3,)",0.01,sgd,,0.220439258,0.218098805
4,105,0.421708388,0.420859399,tanh,0.01,"(2,)",0.01,sgd,,0.215669072,0.213777431
4,106,0.39948657,0.397196976,tanh,0.0001,"(2,)",0.01,sgd,,0.204262089,0.208661564
4,107,0.387020296,0.393630971,logistic,1.00E-05,"(2,)",0.1,sgd,,0.202933934,0.200426273
4,108,0.374955342,0.386867971,logistic,0.01,"(2,)",0.1,sgd,,0.188484738,0.196907688
4,109,0.372955088,0.36413543,logistic,0.001,"(2,)",0.1,sgd,,0.196335088,0.194804449
4,110,0.257798832,0.26179455,tanh,0.1,"(3,)",0.1,sgd,,0.245069677,0.243388905
4,111,0.193839478,0.189063838,tanh,0.0001,"(3,)",0.1,sgd,,0.202824494,0.199009577
4,112,0.174296446,0.171539832,tanh,0.1,"(2,)",0.1,sgd,,0.226295144,0.223342756
4,113,0.153111746,0.159863957,tanh,0.01,"(3,)",0.1,sgd,,0.220713951,0.218345724
4,114,0.149023934,0.144065945,tanh,1.00E-05,"(3,)",0.1,sgd,,0.189873747,0.184635294
4,115,0.121683623,0.121174466,tanh,0.001,"(3,)",0.1,sgd,,0.161981086,0.169185876
4,116,0.10771383,0.103278126,tanh,0.0001,"(2,)",0.1,sgd,,0.220727136,0.210810377
4,117,0.074305163,0.079459523,tanh,1.00E-05,"(2,)",0.1,sgd,,0.166837615,0.170620993
4,118,0.036853778,0.038967627,tanh,0.001,"(2,)",0.1,sgd,,0.122213435,0.110574711
4,119,-0.004717042,-0.003150712,tanh,0.01,"(2,)",0.1,sgd,,0.003973544,0.001967642
4,120,-0.094167557,0.597970533,tanh,1.00E-05,"(3,)",0.1,lbfgs,,1.350339143,0.006531873
