,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_metric,param_n_neighbors,param_weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
13,0.0017526626586914062,0.008391571044921876,0.5278647253054142,1.0,euclidean,11,distance,"{'n_neighbors': 11, 'metric': 'euclidean', 'weights': 'distance'}",17,0.5020620731957455,1.0,0.5319730130352032,1.0,0.5564616743067575,1.0,0.5172336446903523,1.0,0.5315932212990125,1.0,0.0002579290338052698,0.0005784842779852834,0.018040853270103286,0.0
14,0.0016923904418945312,0.008231782913208007,0.5272874105178892,0.598107243437877,euclidean,13,uniform,"{'n_neighbors': 13, 'metric': 'euclidean', 'weights': 'uniform'}",20,0.5031765417608304,0.6011763958812346,0.5340873626046899,0.6010774192150874,0.5577522990475907,0.5920987491564712,0.5097930760786051,0.6029089503854581,0.5316277730977296,0.5932747025511336,0.00023138518065658875,0.00040659903641167587,0.0193936755594603,0.0044889527827830225
15,0.0017104148864746094,0.008388757705688477,0.5298948172716171,1.0,euclidean,13,distance,"{'n_neighbors': 13, 'metric': 'euclidean', 'weights': 'distance'}",9,0.5064150525504469,1.0,0.5359920630051787,1.0,0.5606309557925842,1.0,0.5138713046667781,1.0,0.5325647103430977,1.0,0.0002647178136293383,0.0003854956968254285,0.018958202727513966,0.0
16,0.0017084598541259766,0.008477783203125,0.5280497650593766,0.5889666340317322,euclidean,15,uniform,"{'n_neighbors': 15, 'metric': 'euclidean', 'weights': 'uniform'}",15,0.49894555576832234,0.5970200305876491,0.5349703285524612,0.588953785820695,0.5679984412414093,0.5799021488567475,0.5038759682563854,0.5928572198010997,0.534458531478305,0.5860999850924693,0.00022698031746565142,0.00039266092647800106,0.02496513835371599,0.005837406725947406
17,0.0017095088958740234,0.008702850341796875,0.5314833016301584,1.0,euclidean,15,distance,"{'n_neighbors': 15, 'metric': 'euclidean', 'weights': 'distance'}",1,0.5040586858278713,1.0,0.5378920803688025,1.0,0.5700855768604343,1.0,0.5095036732211045,1.0,0.5358764918725794,1.0,0.0002275917031886316,0.0005305817348330694,0.023603905758514277,0.0
18,0.0017032146453857422,0.008878374099731445,0.5271289157348555,0.5818749183456893,euclidean,17,uniform,"{'n_neighbors': 17, 'metric': 'euclidean', 'weights': 'uniform'}",22,0.4998437660594134,0.5892168981588408,0.5351832001997242,0.5788906427197172,0.5650473091147854,0.5733263206697976,0.503521443348746,0.5874118017916784,0.5320488599516084,0.5805289283884127,0.00023365879043073647,0.00037725298365459594,0.02378518047492723,0.00580272105261512
19,0.0017301559448242188,0.008911609649658203,0.5314025683338582,1.0,euclidean,17,distance,"{'n_neighbors': 17, 'metric': 'euclidean', 'weights': 'distance'}",3,0.5050161073805801,1.0,0.5389172225919653,1.0,0.568860766392377,1.0,0.5088859426618217,1.0,0.5353328026425469,1.0,0.000229890280643815,0.0004483164281974326,0.023144230924464892,0.0
20,0.001728200912475586,0.00911865234375,0.5260535790579248,0.5755148986921739,euclidean,19,uniform,"{'n_neighbors': 19, 'metric': 'euclidean', 'weights': 'uniform'}",25,0.49737312622459406,0.5798472282690419,0.5377952941378616,0.5732770526052359,0.5651731510296134,0.5661971330679267,0.500174777386609,0.5837726534404655,0.5297515465109465,0.5744804260781999,0.00024267435278810297,0.0003844946081271564,0.02519589053087172,0.005997640168796812
21,0.0017402172088623047,0.009278249740600587,0.530992230629902,1.0,euclidean,19,distance,"{'n_neighbors': 19, 'metric': 'euclidean', 'weights': 'distance'}",7,0.5034428214076245,1.0,0.5412025964605414,1.0,0.569772714390103,1.0,0.5061036332299257,1.0,0.5344393876613156,1.0,0.0002224697546445562,0.0005260032470878873,0.024488661097350917,0.0
22,0.001718616485595703,0.006253385543823242,0.19488498982095145,1.0,manhattan,1,uniform,"{'n_neighbors': 1, 'metric': 'manhattan', 'weights': 'uniform'}",85,0.22675366741051606,1.0,0.11447770904876764,1.0,0.2409223691575707,1.0,0.21159287301334606,1.0,0.18067833047455684,1.0,0.0002470420377251343,0.00037896309080535245,0.04490293139478402,0.0
