,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
46,0.47241883277893065,0.05922455787658691,0.47314006255392255,0.643570457390234,0.03,5,0.9,polynomial,"{'alpha': 0.03, 'gamma': 0.9, 'degree': 5, 'kernel': 'polynomial'}",176,0.5348689162725886,0.6403290609054403,0.39568246774617544,0.6341907577333576,0.443169824415899,0.653758114845725,0.46600921849477295,0.6459507039590855,0.5259698858401767,0.643623649507562,0.002314266312739364,0.0010674718149281984,0.05205801516447624,0.006448909743284299
47,0.47179136276245115,0.06023139953613281,0.44436169869123754,0.646878645930544,0.03,5,1,polynomial,"{'alpha': 0.03, 'gamma': 1, 'degree': 5, 'kernel': 'polynomial'}",178,0.5370933410102814,0.6431774722983221,0.2842851866032673,0.6376501612891268,0.4321632612085947,0.6570605060094685,0.4396909373443997,0.6492593820417878,0.5285757672896446,0.6472457080140144,0.0030821202398132576,0.0024361873628273674,0.09108926879486018,0.006455021745959141
48,0.3130506038665771,0.012518358230590821,0.5586593373091472,0.5692180414752719,0.05,2,0.1,polynomial,"{'alpha': 0.05, 'gamma': 0.1, 'degree': 2, 'kernel': 'polynomial'}",137,0.5579677346467283,0.5710113234578416,0.586585910091562,0.5608715013154832,0.5355453469186383,0.5752956429358366,0.5547078041913255,0.5704232252780642,0.5584898906974818,0.568488514389134,0.003923893834191745,0.0002887218240500115,0.01631117199665408,0.004728689251565459
49,0.3202493667602539,0.012335586547851562,0.569657373053952,0.5834204520468635,0.05,2,0.3,polynomial,"{'alpha': 0.05, 'gamma': 0.3, 'degree': 2, 'kernel': 'polynomial'}",88,0.5625788438155046,0.5857653510575722,0.5946070213897164,0.5745024872517872,0.5474585584182214,0.5901266868372437,0.5687251842593677,0.5843809066637187,0.5749172573869501,0.5823268284239955,0.007422705994975884,0.0002503297622236833,0.015452593689310935,0.005140441969711973
50,0.36716389656066895,0.013065862655639648,0.573163691902686,0.5882816835695264,0.05,2,0.5,polynomial,"{'alpha': 0.05, 'gamma': 0.5, 'degree': 2, 'kernel': 'polynomial'}",57,0.5659641006500133,0.5901250558228074,0.5985671453995082,0.5789416610720282,0.5491527894049746,0.5959138704710966,0.5729612455268553,0.5890343888266993,0.5791731785320791,0.5873934416550008,0.08095349154307388,0.001292054565774662,0.016185474454641805,0.0054816030013370085
51,0.33032517433166503,0.012704229354858399,0.5747174570590435,0.5910989473214407,0.05,2,0.7,polynomial,"{'alpha': 0.05, 'gamma': 0.7, 'degree': 2, 'kernel': 'polynomial'}",45,0.568521857435768,0.592671909248,0.5997079561297283,0.5815177665721731,0.5492376692614501,0.5993128196400059,0.5752022741741223,0.5916077852952022,0.5809175282941488,0.5903844558518229,0.012945156524036905,0.0005486875401381756,0.016436581248298984,0.005701058610151819
52,0.3509239673614502,0.01325364112854004,0.5753446994956848,0.5928874306165122,0.05,2,0.9,polynomial,"{'alpha': 0.05, 'gamma': 0.9, 'degree': 2, 'kernel': 'polynomial'}",34,0.5701755892925047,0.5943246838283083,0.5995705060610643,0.5831369683917471,0.5488205749151804,0.6014768729667035,0.5765674437317946,0.5931853130861289,0.5815893834778796,0.5923133148096734,0.05331822561921044,0.0007732010225285379,0.01647804460670223,0.005853786350799213
53,0.3281089305877686,0.01299600601196289,0.5754753233197644,0.593544943580244,0.05,2,1,polynomial,"{'alpha': 0.05, 'gamma': 1, 'degree': 2, 'kernel': 'polynomial'}",31,0.5707549116288648,0.594937718216318,0.5993121575183019,0.5837220108689445,0.5485350089341867,0.6022736441968741,0.5770677967155358,0.5937591825046924,0.5817067418019325,0.5930321621143906,0.0032769163503933952,0.0004737871232592698,0.016478009820060542,0.005914877612272968
54,0.48747959136962893,0.06088442802429199,0.5643371707453816,0.5785201302155503,0.05,3,0.1,polynomial,"{'alpha': 0.05, 'gamma': 0.1, 'degree': 3, 'kernel': 'polynomial'}",121,0.5592252760151804,0.5807569139773753,0.588384015648703,0.5700680720580736,0.5412489183375342,0.5848814328075391,0.5638374810382434,0.5794176492272511,0.5689901626872467,0.5774765830075119,0.007722614340943731,0.0009429676267914359,0.015227275794442075,0.004874447466393388
55,0.47006998062133787,0.05960335731506348,0.5712236740571157,0.593665664179278,0.05,3,0.3,polynomial,"{'alpha': 0.05, 'gamma': 0.3, 'degree': 3, 'kernel': 'polynomial'}",77,0.56974019697273,0.5943332595802259,0.594653503749522,0.5840318484802369,0.542075335240361,0.6019837317937198,0.57143827029953,0.5952802300194118,0.5782110640234356,0.5926992510227962,0.0012778907173826774,0.002457120956555412,0.01702734829349582,0.005761720483015992
